Date,Time,Site,Rep,FQ_ID,FQ_PH,FQ_chl,FQ_ratio,CF_PH,CF_chl,CF_ratio,temperature_C,DO_pct,turbidity,chl_RFU,maramataka,weather_description,water_description,Notes 
,11:30,Hamurana (bridge),1,A,0.1,3.85,0.02,331.74,2767.6,0.11,20.4,104.9,1.22,0.5,,,"Murky, high wave action, lake weed build up on shore (stinky!!!) ",
,,,2,,0.1,2.13,0.04,465.01,4689.2,0.09,,,,,,,,
,,,3,,0.1,2.62,0.03,484.21,2022.7,0.23,,,,,,,,
,,,1,B,0.1,2.32,0.04,,,,,,,,,,,
,,,2,,0.1,2.01,0.04,,,,,,,,,,,
,,,3,,0.1,3.41,0.02,,,,,,,,,,,
,11:45,Hamurana (West),1,A,0.1,0.85,0.11,258.93,2158.8,0.11,22.3,104.1,0.59,0.44,,,"Murky, high wave action, lake weed build up on shore. ",
,,,2,,0.1,1.24,0.08,170.36,937.64,0.18,,,,,,,,
,,,3,,0.1,1.63,0.06,280.9,1740.1,0.16,,,,,,,,
,,,1,B,0.1,1.62,0.06,,,,,,,,,,,
,,,2,,0.1,2.51,0.03,,,,,,,,,,,
,,,3,,0.1,2.4,0.04,,,,,,,,,,,
,12:07,Awahou (Tarimano),1,A,0.1,0.05,2,0,0,0,14.2,94.5,1.12,0.06,,,"Clear, flat. ",
,,,2,,0.1,0.05,2,0,0,0,,,,,,,,
,,,3,,0.1,0,,0,0,0,,,,,,,,
,,,1,B,0.1,0.41,0.24,,,,,,,,,,,
,,,2,,0.1,0.37,0.27,,,,,,,,,,,
,,,3,,0.1,0.1,1,,,,,,,,,,,
,12:30,Ngongotaha ,1,A,0.1,2.13,0.04,146.32,987.58,0.16,20.8,111.2,0.71,0.35,,,"Murky but slightly clear?, moderate wave action. ",
,,,2,,0.1,1.14,0.08,175.13,1524.7,0.11,,,,,,,,
,,,3,,0.1,1,0.1,159.31,1688.6,0.09,,,,,,,,
,,,1,B,0.1,1.66,0.06,,,,,,,,,,,
,,,2,,0.1,1.54,0.06,,,,,,,,,,,
,,,3,,0.1,1.66,0.06,,,,,,,,,,,
,13:00,Te Koutu ,1,A,0.1,2.08,0.04,122.97,1295.3,0.09,22.7,117.7,1.04,0.43,,,"Clear-ish, moderate wave action. ",
,,,2,,0.1,2.57,0.03,197.79,1351,0.14,,,,,,,,
,,,3,,0.1,1.88,0.05,217.06,1119.1,0.19,,,,,,,,
,,,1,B,0.1,1.62,0.06,,,,,,,,,,,
,,,2,,0.1,1.93,0.05,,,,,,,,,,,
,,,3,,0.1,2.16,0.06,,,,,,,,,,,
,13:30,Lake Front ,1,A,5.5,4.93,1.11,257.25,1097.3,0.22,21.2,115.8,1.34,0.4,,,"Murky, moderate wave action, lake weed build up on shore ",
,,,2,,0.1,2.03,0.04,294.65,1255.1,0.23,,,,,,,,
,,,3,,0.1,2.13,0.04,204.7,983.87,0.2,,,,,,,,
,,,1,B,0.1,2.36,0.04,,,,,,,,,,,
,,,2,,0.1,2.94,0.03,,,,,,,,,,,
,,,3,,0.1,2.16,0.04,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
31/01/2025,10:40,Hannah's Bay ,1,A,0.1,7.09,0.01,703.28,3743.6,0.18,23.3,97.1,0.98,2.31,?tirea,"Moderately fine, slight winds ","Murky, moderate wave action",
,,,2,,0.1,7.49,0.07,813.2,4579.3,0.17,,,,,,,,
,,,3,,0.1,6.31,0.01,768.57,4096.9,0.18,,,,,,,,
,11:20,Te P?hue ,1,,0.1,2.22,0.04,270,1462.7,0.18,23,102,1.26,1.09,,,"Clear, flat ",
,,,2,,0.1,2.37,0.03,361.93,2034.9,0.17,,,,,,,,
,,,3,,0.1,2.42,0.04,318.69,1749.7,0.18,,,,,,,,
,11:47,Ohau Channel ,1,,0.1,22.2,0.04,128.43,460.34,0.13,22.5,103.3,0.81,0.46,,,"Clear, slight wave action ",
,,,2,,0.1,1.19,0.08,297.41,1140.8,0.26,,,,,,,,
,,,3,,0.1,0.8,0.12,102.31,935.03,0.19,,,,,,,,
,12:13,Hamurana (bridge),1,,22.52,1.44,15.63,229.43,2207.6,0.1,22.7,97.2,1.14,0.53,,,"Murky, moderate wave action, lake weed wash up on shore ",
,,,2,,0.03,2.62,0.03,403.87,2596.7,0.15,,,,,,,,
,,,3,,0.1,2.47,0.04,249.33,1236,0.2,,,,,,,,
,12:30,Hamurana (West),1,,0.1,2.27,0.04,814.58,2879.3,0.28,23.8,107.4,0.57,0.81,,,"Murky, moderate wave action, dried up lake weed on shore ",
,,,2,,0.1,4.98,0.02,264.46,2144.9,0.12,,,,,,,,
,,,3,,0.1,1.54,0.06,476.68,3353.7,0.14,,,,,,,,
,12:50,Awahou (Tarimano),1,,29.56,1.39,21.56,186.8,698.66,0.26,15.6,99,1.16,0.09,,,"clear, flat.",
,,,2,,0.1,1.14,0.08,109.22,421.29,0.25,,,,,,,,
,,,3,,0.1,1.39,0.07,84.49,443.98,0.19,,,,,,,,
,13:10,Ngongotaha ,1,,0.1,4.98,0.02,278.07,804.97,0.28,23.2,112,1.03,0.91,,,"Murky, slight wave action",
,,,2,,0.1,6.16,0.01,800.83,4201.6,0.19,,,,,,,,
,,,3,,0.1,4.49,0.02,1132.5,5348.6,0.21,,,,,,,,
,13:50,Lake Front ,1,,0.1,2.22,0.04,433.37,2097.7,0.2,27.5,170.2,3.24,2.76,,,"murky, moderate wave action, lake weed wash up ",
,,,2,,0.1,2.27,0.04,548.74,2422.2,0.22,,,,,,,,
,,,3,,0.1,2.81,0.03,515.79,1911.1,0.26,,,,,,,,
,,,,,,,,,,,,,,,,,,
3/2/2025,10:30,Hannah's Bay ,1,A,0.1,2.62,0.03,164.15,1332.3,0.21,22.1,93.4,0.79,0.75,Okorot?tea ,"Finespells, light winds ","Moderate wave action, murky",
,,,2,,0.1,2.72,0.03,287.12,1301.4,0.22,,,,,,,,
,,,3,,0.1,1.39,0.07,291.57,1440.9,0.2,,,,,,,,
,11:00,Te P?hue ,1,,0.1,2.47,0.04,315.23,1639,0.19,22.9,96.4,1.24,0.84,,,"Slight wave action, clear ",
,,,2,,0.1,2.23,0.04,397.65,2006.2,0.19,,,,,,,,
,,,3,,0.1,2.57,0.03,413.47,1653.7,0.25,,,,,,,,
,11:30,Ohau Channel ,1,,3.25,3.06,1.06,559.72,3088.6,0.18,21.8,93.6,0.76,0.82,,,"Slight wave action, clear ",
,,,2,,0.1,2.37,0.04,459.48,3831.8,0.11,,,,,,,,
,,,3,,0.1,1.83,0.05,533.68,3193.3,0.16,,,,,,,,
,12:00,Hamurana (East),1,,9.25,2.27,4.07,571.4,2004.4,0.28,23,98.8,1.87,1.01,,,"Cloudy but can still see lake bed, flat.",
,,,2,,14.69,1.96,7.41,344.8,1645,0.2,,,,,,,,
,,,3,,33.47,2.62,12.71,602.35,2204.4,0.27,,,,,,,,
